TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"timestamp_CF [UTC]","label_CF","country_CF","state_CF","sourcehost_CF","username_CF","destinationhost_CF","longitude_CF","latitude_CF",Type,"_ResourceId"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:33
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:35
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:37
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:39
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:41
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:43
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:47
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:45
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:49
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:51
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
